event_type,event_type_str,uid,gid,username,groupname,pid,ppid,exit_code,durations_ns,comm,exe,filename,comm_timestamp,mode,mode_transformed,new_mode,new_mode_transformed,is_success,do_not_update_atime,old_uid,new_uid,old_gid,new_gid,old_mtime,new_mtime,old_ctime,new_ctime,old_atime,new_atime,file_type,file_type_new,is_sensitive_file,was_suid_changed,suid_set,suid_cleared,was_sgid_changed,sgid_set,sgid_cleared,was_sticky_changed,sticky_set,sticky_cleared,was_permission_changed,was_owner_changed,was_group_changed,was_creation_time_changed,was_access_time_changed,was_modified_time_changed,was_file_created,was_file_modified,is_target_dir_world_writable,dev_major,dev_major_new,dev_minor,dev_minor_new,rdev_major,rdev_minor,rdev_major_new,rdev_minor_new,is_linked_file_SGID_or_SUID,is_linked_to_sensitive_file,is_cross_user_link,is_symlink,new_filename,was_dir_removed,is_current_dir_world_writable,is_switching_user,is_switching_root,is_changing_password,is_root_command,name,rhost,rname,login_type,is_auth_success,protocol_family,socket_type,protocol,port,ipv4,ipv6,local_socket_port,local_ipv4_socket_addr,local_ipv6_socket_addr,path,peer_pid,peer_uid,peer_gid,backlog,ifindex,kernel_sock,is_important_port,is_sock_success,argv
1,FILE_OPEN_AND_WRITE_EXIT,1000,1000,stefan,stefan,3459085,3459084,0,0,ps,/usr/bin/ps,/,1765539374204466035,100352,4000,100352,4000,1, 0,1000,1000,1000,1000,1764771194756999990, 1764771194756999990,1764771194756999990, 1764771194756999990,1764771194756999990, 1764771194756999990,DIR,DIR,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,0,0,24,24,4294967295,4294967295,4294967295,4294967295,255,255,255,255,/,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
1,FILE_OPEN_AND_WRITE_EXIT,1000,1000,stefan,stefan,3459087,3459086,0,0,sh,void,/usr/bin/bash,1765539375247251749,32800,0040,32800,0040,1, 0,1000,1000,1000,1000,1711874463000000000, 1711874463000000000,1757592022312010178, 1757592022312010178,1765457741704453770, 1765457741704453770,REGULAR,REGULAR,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,8,8,3,3,4294967295,4294967295,4294967295,4294967295,255,255,255,255,/usr/bin/bash,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
1,FILE_OPEN_AND_WRITE_EXIT,0,0,root,root,3459126,3459121,0,0,vsftpd,/usr/sbin/vsftpd,/etc/passwd,1765539376266032992,32768,0000,32768,0000,1, 0,0,0,0,0,1757592752059930187, 1757592752059930187,1757592752078930186, 1757592752078930186,1765466101915712322, 1765466101915712322,REGULAR,REGULAR,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,8,8,3,3,4294967295,4294967295,4294967295,4294967295,255,255,255,255,/etc/passwd,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
1,FILE_OPEN_AND_WRITE_EXIT,0,0,root,root,3459127,3459122,0,0,vsftpd,/usr/sbin/vsftpd,/etc/passwd,1765539376266154292,32768,0000,32768,0000,1, 0,0,0,0,0,1757592752059930187, 1757592752059930187,1757592752078930186, 1757592752078930186,1765466101915712322, 1765466101915712322,REGULAR,REGULAR,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,8,8,3,3,4294967295,4294967295,4294967295,4294967295,255,255,255,255,/etc/passwd,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
1,FILE_OPEN_AND_WRITE_EXIT,0,0,root,root,3459128,3459123,0,0,vsftpd,/usr/sbin/vsftpd,/etc/passwd,1765539376268630686,32768,0000,32768,0000,1, 0,0,0,0,0,1757592752059930187, 1757592752059930187,1757592752078930186, 1757592752078930186,1765466101915712322, 1765466101915712322,REGULAR,REGULAR,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,8,8,3,3,4294967295,4294967295,4294967295,4294967295,255,255,255,255,/etc/passwd,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
1,FILE_OPEN_AND_WRITE_EXIT,0,0,root,root,3459130,3459124,0,0,vsftpd,/usr/sbin/vsftpd,/etc/passwd,1765539376268671036,32768,0000,32768,0000,1, 0,0,0,0,0,1757592752059930187, 1757592752059930187,1757592752078930186, 1757592752078930186,1765466101915712322, 1765466101915712322,REGULAR,REGULAR,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,8,8,3,3,4294967295,4294967295,4294967295,4294967295,255,255,255,255,/etc/passwd,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
1,FILE_OPEN_AND_WRITE_EXIT,0,0,root,root,3459129,3459125,0,0,vsftpd,/usr/sbin/vsftpd,/etc/passwd,1765539376268762211,32768,0000,32768,0000,1, 0,0,0,0,0,1757592752059930187, 1757592752059930187,1757592752078930186, 1757592752078930186,1765466101915712322, 1765466101915712322,REGULAR,REGULAR,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,8,8,3,3,4294967295,4294967295,4294967295,4294967295,255,255,255,255,/etc/passwd,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
12,AUTH,0,0,root,root,3459122,1638,7,2707738391,vsftpd,/usr/sbin/vsftpd,void,1765539376723311294,4294967295,7777,4294967295,7777,0, 0,0,0,0,0,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,void,void,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,1,1,1,4294967295,4294967295,4294967295,4294967295,255,255,255,255,void,255,255,0,0,0,0,stefan,::ffff:192.168.12.5,stefan,vsftpd,0,-1,-1,-1,65535,255.255.255.255,0000:0000:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
1,FILE_OPEN_AND_WRITE_EXIT,0,0,root,root,3459122,1638,0,0,vsftpd,/usr/sbin/vsftpd,/etc/shadow,1765539378972522242,32768,0000,32768,0000,1, 0,0,0,0,0,1757592752063930186, 1757592752063930186,1757592752078930186, 1757592752078930186,1765466101915712322, 1765466101915712322,REGULAR,REGULAR,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,8,8,3,3,4294967295,4294967295,4294967295,4294967295,255,255,255,255,/etc/shadow,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
12,AUTH,0,0,root,root,3459124,1638,7,2749074065,vsftpd,/usr/sbin/vsftpd,void,1765539376725470024,4294967295,7777,4294967295,7777,0, 0,0,0,0,0,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,void,void,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,1,1,1,4294967295,4294967295,4294967295,4294967295,255,255,255,255,void,255,255,0,0,0,0,stefan,::ffff:192.168.12.5,stefan,vsftpd,0,-1,-1,-1,65535,255.255.255.255,0000:0000:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
