event_type,event_type_str,uid,gid,username,groupname,pid,ppid,exit_code,durations_ns,comm,exe,filename,comm_timestamp,mode,mode_transformed,new_mode,new_mode_transformed,is_success,do_not_update_atime,old_uid,new_uid,old_gid,new_gid,old_mtime,new_mtime,old_ctime,new_ctime,old_atime,new_atime,file_type,file_type_new,is_sensitive_file,was_suid_changed,suid_set,suid_cleared,was_sgid_changed,sgid_set,sgid_cleared,was_sticky_changed,sticky_set,sticky_cleared,was_permission_changed,was_owner_changed,was_group_changed,was_creation_time_changed,was_access_time_changed,was_modified_time_changed,was_file_created,was_file_modified,is_target_dir_world_writable,dev_major,dev_major_new,dev_minor,dev_minor_new,rdev_major,rdev_minor,rdev_major_new,rdev_minor_new,is_linked_file_SGID_or_SUID,is_linked_to_sensitive_file,is_cross_user_link,is_symlink,new_filename,was_dir_removed,is_current_dir_world_writable,is_switching_user,is_switching_root,is_changing_password,is_root_command,name,rhost,rname,login_type,is_auth_success,protocol_family,socket_type,protocol,port,ipv4,ipv6,local_socket_port,local_ipv4_socket_addr,local_ipv6_socket_addr,path,peer_pid,peer_uid,peer_gid,backlog,ifindex,kernel_sock,is_important_port,is_sock_success,argv
2,EXECVE_ENTER,0,0,root,root,3456700,1648,0,8630796,sshd,/usr/sbin/sshd,/usr/sbin/sshd,1765539133724260631,4294967295,7777,4294967295,7777,1, 0,0,0,0,0,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,void,void,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,0,255,0,0,0,0,4294967295,4294967295,4294967295,4294967295,255,255,255,255,/usr/sbin/sshd,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,"/usr/sbin/sshd -D -R "
1,FILE_OPEN_AND_WRITE_EXIT,0,0,root,root,3456700,1648,0,0,sshd,void,/etc/ssl/openssl.cnf,1765539133753190009,32768,0000,32768,0000,1, 0,0,0,0,0,1738761463000000000, 1738761463000000000,1757592262601060859, 1757592262601060859,1765456608996740817, 1765456608996740817,REGULAR,REGULAR,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,8,8,3,3,4294967295,4294967295,4294967295,4294967295,255,255,255,255,/etc/ssl/openssl.cnf,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
1,FILE_OPEN_AND_WRITE_EXIT,0,0,root,root,3456700,1648,0,0,sshd,void,/etc/hosts.deny,1765539133777268563,32768,0000,32768,0000,1, 0,0,0,0,0,1726064460000000000, 1726064460000000000,1754250570646448208, 1754250570646448208,1765535056702216289, 1765535056702216289,REGULAR,REGULAR,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,8,8,3,3,4294967295,4294967295,4294967295,4294967295,255,255,255,255,/etc/hosts.deny,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
1,FILE_OPEN_AND_WRITE_EXIT,0,0,root,root,3456700,1648,0,0,sshd,void,/etc/passwd,1765539133831491938,32768,0000,32768,0000,1, 0,0,0,0,0,1757592752059930187, 1757592752059930187,1757592752078930186, 1757592752078930186,1765466101915712322, 1765466101915712322,REGULAR,REGULAR,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,8,8,3,3,4294967295,4294967295,4294967295,4294967295,255,255,255,255,/etc/passwd,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
3,PROCESS_EXIT,65534,129,nobody,saned,3456701,3456700,255,55097053,sshd,void,void,1765539133832899417,4294967295,7777,4294967295,7777,0, 0,65534,65534,129,129,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,void,void,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,0,255,0,0,0,0,4294967295,4294967295,4294967295,4294967295,255,255,255,255,void,255,255,255,255,255,255,,,,,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
1,FILE_OPEN_AND_WRITE_EXIT,1000,1000,stefan,stefan,3456705,3456704,0,0,ps,void,/,1765539134003533796,100352,4000,100352,4000,1, 0,1000,1000,1000,1000,1764771194756999990, 1764771194756999990,1764771194756999990, 1764771194756999990,1764771194756999990, 1764771194756999990,DIR,DIR,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,0,0,24,24,4294967295,4294967295,4294967295,4294967295,255,255,255,255,/,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
2,EXECVE_ENTER,0,0,root,root,3456725,1648,0,1928800,sshd,/usr/sbin/sshd,/usr/sbin/sshd,1765539134062081333,4294967295,7777,4294967295,7777,1, 0,0,0,0,0,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,void,void,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,0,255,0,0,0,0,4294967295,4294967295,4294967295,4294967295,255,255,255,255,/usr/sbin/sshd,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,"/usr/sbin/sshd -D -R "
2,EXECVE_ENTER,0,0,root,root,3456726,1648,0,2222391,sshd,/usr/sbin/sshd,/usr/sbin/sshd,1765539134063661496,4294967295,7777,4294967295,7777,1, 0,0,0,0,0,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,void,void,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,0,255,0,0,0,0,4294967295,4294967295,4294967295,4294967295,255,255,255,255,/usr/sbin/sshd,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,"/usr/sbin/sshd -D -R "
2,EXECVE_ENTER,0,0,root,root,3456728,1648,0,2581527,sshd,/usr/sbin/sshd,/usr/sbin/sshd,1765539134066465711,4294967295,7777,4294967295,7777,1, 0,0,0,0,0,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,void,void,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,0,255,0,0,0,0,4294967295,4294967295,4294967295,4294967295,255,255,255,255,/usr/sbin/sshd,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,"/usr/sbin/sshd -D -R "
2,EXECVE_ENTER,0,0,root,root,3456727,1648,0,4902254,sshd,/usr/sbin/sshd,/usr/sbin/sshd,1765539134065903539,4294967295,7777,4294967295,7777,1, 0,0,0,0,0,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,void,void,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,0,255,0,0,0,0,4294967295,4294967295,4294967295,4294967295,255,255,255,255,/usr/sbin/sshd,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,"/usr/sbin/sshd -D -R "
