event_type,event_type_str,uid,gid,username,groupname,pid,ppid,exit_code,durations_ns,comm,exe,filename,comm_timestamp,mode,mode_transformed,new_mode,new_mode_transformed,is_success,do_not_update_atime,old_uid,new_uid,old_gid,new_gid,old_mtime,new_mtime,old_ctime,new_ctime,old_atime,new_atime,file_type,file_type_new,is_sensitive_file,was_suid_changed,suid_set,suid_cleared,was_sgid_changed,sgid_set,sgid_cleared,was_sticky_changed,sticky_set,sticky_cleared,was_permission_changed,was_owner_changed,was_group_changed,was_creation_time_changed,was_access_time_changed,was_modified_time_changed,was_file_created,was_file_modified,is_target_dir_world_writable,dev_major,dev_major_new,dev_minor,dev_minor_new,rdev_major,rdev_minor,rdev_major_new,rdev_minor_new,is_linked_file_SGID_or_SUID,is_linked_to_sensitive_file,is_cross_user_link,is_symlink,new_filename,was_dir_removed,is_current_dir_world_writable,is_switching_user,is_switching_root,is_changing_password,is_root_command,name,rhost,rname,login_type,is_auth_success,protocol_family,socket_type,protocol,port,ipv4,ipv6,local_socket_port,local_ipv4_socket_addr,local_ipv6_socket_addr,path,peer_pid,peer_uid,peer_gid,backlog,ifindex,kernel_sock,is_important_port,is_sock_success,argv
2,FILE_OPEN_AND_READ_EXIT,0,0,root,root,440661,440647,0,0,sudo,void,/run/utmp,1774527632680392213,32768,0000,32768,0000,1, 0,0,0,0,0,1774527632174206413, 1774527632174206413,1774527632174206413, 1774527632174206413,1774527632175206414, 1774527632175206414,REGULAR,REGULAR,0,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,0,255,0,0,26,26,0,0,4294967295,4294967295,255,255,255,255,/run/utmp,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
2,FILE_OPEN_AND_READ_EXIT,0,0,root,root,440661,440647,0,0,sudo,void,/run/utmp,1774527632680676049,32770,0002,32770,0002,1, 0,0,0,0,0,1774527632174206413, 1774527632174206413,1774527632174206413, 1774527632174206413,1774527632175206414, 1774527632175206414,REGULAR,REGULAR,0,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,0,255,0,0,26,26,0,0,4294967295,4294967295,255,255,255,255,/run/utmp,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
1,FILE_OPEN_AND_WRITE_EXIT,0,0,root,root,440661,440647,0,0,sudo,void,/run/utmp,1774527632680732208,32770,0002,32770,0002,1, 0,0,0,0,0,1774527632174206413, 1774527632174206413,1774527632174206413, 1774527632174206413,1774527632175206414, 1774527632175206414,REGULAR,REGULAR,0,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,1,255,0,0,26,26,0,0,4294967295,4294967295,255,255,255,255,/run/utmp,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
2,FILE_OPEN_AND_READ_EXIT,0,0,root,root,895,1,0,0,systemd-logind,/usr/lib/systemd/systemd-logind,/run/utmp,1774527632681195400,32768,0000,32768,0000,1, 0,0,0,0,0,1774527632679206718, 1774527632679206718,1774527632679206718, 1774527632679206718,1774527632175206414, 1774527632175206414,REGULAR,REGULAR,0,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,0,255,0,0,26,26,0,0,4294967295,4294967295,255,255,255,255,/run/utmp,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
2,FILE_OPEN_AND_READ_EXIT,0,0,root,root,440661,440647,0,0,sudo,void,/etc/login.defs,1774527632681376446,32768,0000,32768,0000,1, 0,0,0,0,0,1715089458000000000, 1715089458000000000,1757592046732050976, 1757592046732050976,1774515301852971233, 1774515301852971233,REGULAR,REGULAR,1,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,0,255,8,8,3,3,0,0,4294967295,4294967295,255,255,255,255,/etc/login.defs,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
2,FILE_OPEN_AND_READ_EXIT,0,0,root,root,440661,440647,0,0,sudo,void,/etc/login.defs,1774527632682214943,32768,0000,32768,0000,1, 0,0,0,0,0,1715089458000000000, 1715089458000000000,1757592046732050976, 1757592046732050976,1774515301852971233, 1774515301852971233,REGULAR,REGULAR,1,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,0,255,8,8,3,3,0,0,4294967295,4294967295,255,255,255,255,/etc/login.defs,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
2,FILE_OPEN_AND_READ_EXIT,1000,0,stefan,root,440645,440590,0,0,sudo,void,/run/utmp,1774527632692225373,32768,0000,32768,0000,1, 0,1000,1000,0,0,1774527632679206718, 1774527632679206718,1774527632679206718, 1774527632679206718,1774527632680206718, 1774527632680206718,REGULAR,REGULAR,0,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,0,255,0,0,26,26,0,0,4294967295,4294967295,255,255,255,255,/run/utmp,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
2,FILE_OPEN_AND_READ_EXIT,1000,0,stefan,root,440645,440590,0,0,sudo,void,/run/utmp,1774527632692582584,32770,0002,32770,0002,1, 0,1000,1000,0,0,1774527632679206718, 1774527632679206718,1774527632679206718, 1774527632679206718,1774527632680206718, 1774527632680206718,REGULAR,REGULAR,0,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,0,255,0,0,26,26,0,0,4294967295,4294967295,255,255,255,255,/run/utmp,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
1,FILE_OPEN_AND_WRITE_EXIT,1000,0,stefan,root,440645,440590,0,0,sudo,void,/run/utmp,1774527632692665257,32770,0002,32770,0002,1, 0,1000,1000,0,0,1774527632679206718, 1774527632679206718,1774527632679206718, 1774527632679206718,1774527632680206718, 1774527632680206718,REGULAR,REGULAR,0,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,1,255,0,0,26,26,0,0,4294967295,4294967295,255,255,255,255,/run/utmp,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
2,FILE_OPEN_AND_READ_EXIT,0,0,root,root,895,1,0,0,systemd-logind,/usr/lib/systemd/systemd-logind,/run/utmp,1774527632693021607,32768,0000,32768,0000,1, 0,0,0,0,0,1774527632691206724, 1774527632691206724,1774527632691206724, 1774527632691206724,1774527632680206718, 1774527632680206718,REGULAR,REGULAR,0,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,0,255,0,0,26,26,0,0,4294967295,4294967295,255,255,255,255,/run/utmp,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
2,FILE_OPEN_AND_READ_EXIT,1000,0,stefan,root,440645,440590,0,0,sudo,void,/etc/login.defs,1774527632693255392,32768,0000,32768,0000,1, 0,1000,1000,0,0,1715089458000000000, 1715089458000000000,1757592046732050976, 1757592046732050976,1774515301852971233, 1774515301852971233,REGULAR,REGULAR,1,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,0,255,8,8,3,3,0,0,4294967295,4294967295,255,255,255,255,/etc/login.defs,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
2,FILE_OPEN_AND_READ_EXIT,1000,0,stefan,root,440645,440590,0,0,sudo,void,/etc/login.defs,1774527632694105024,32768,0000,32768,0000,1, 0,1000,1000,0,0,1715089458000000000, 1715089458000000000,1757592046732050976, 1757592046732050976,1774515301852971233, 1774515301852971233,REGULAR,REGULAR,1,255,255,255,255,255,255,255,255,255,255,255,255,255,1,255,255,0,255,8,8,3,3,0,0,4294967295,4294967295,255,255,255,255,/etc/login.defs,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
12,INODE_RENAME,65534,65534,nobody,nogroup,440684,1810,0,0,redis-server,void,temp-440684.rdb,1774527638023838873,16877,0755,16877,0755,1, 255,65534,65534,65534,65534,1774527637994209933, 1774527637994209933,1774527637994209933, 1774527637994209933,1774527635684208534, 1774527635684208534,DIR,DIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,255,0,8,8,3,3,0,0,0,0,255,255,255,255,dump.rdb,0,0,255,255,255,255,,,,,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
5,INODE_SETATTR,1000,1000,root,root,8353,6634,0,0,TaskCon~ller #0,/snap/firefox/8030/usr/lib/firefox/firefox,memfd:mozilla-ipc,1774527638802886194,33206,0666,0,0000,1, 255,1000,0,1000,0,1774527638801210424, 1774527638801210424,1774527638801210424, 1774527638801210424,1774527638801210424, 1774527638801210424,REGULAR,REGULAR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,255,0,0,1,1,0,0,4294967295,4294967295,255,255,255,255,memfd:mozilla-ipc,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
6,INODE_CREATE,1000,1000,root,root,5782,3304,0,0,BgIOThr~ool #47,/snap/firefox/8030/usr/lib/firefox/firefox,AlternateServices.bin,1774527641884251844,33206,0666,33206,0666,1, 255,0,0,0,0,0, 0,0, 0,0, 0,REGULAR,REGULAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,255,255,8,0,3,0,0,0,0,0,255,255,255,255,AlternateServices.bin,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
6,INODE_CREATE,1000,1000,root,root,5782,3304,0,0,BgIOThr~ool #47,/snap/firefox/8030/usr/lib/firefox/firefox,SiteSecurityServiceState.bin,1774527642069083736,33206,0666,33206,0666,1, 255,0,0,0,0,0, 0,0, 0,0, 0,REGULAR,REGULAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,255,255,8,0,3,0,0,0,0,0,255,255,255,255,SiteSecurityServiceState.bin,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
5,INODE_SETATTR,1000,1000,root,root,8353,6634,0,0,TaskCon~ller #0,/snap/firefox/8030/usr/lib/firefox/firefox,memfd:mozilla-ipc,1774527643794046475,33206,0666,0,0000,1, 255,1000,0,1000,0,1774527643792213463, 1774527643792213463,1774527643792213463, 1774527643792213463,1774527643792213463, 1774527643792213463,REGULAR,REGULAR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,255,0,0,1,1,0,0,4294967295,4294967295,255,255,255,255,memfd:mozilla-ipc,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
5,INODE_SETATTR,1000,1000,root,root,8353,6634,0,0,TaskCon~ller #2,/snap/firefox/8030/usr/lib/firefox/firefox,memfd:mozilla-ipc,1774527643799853538,33206,0666,0,0000,1, 255,1000,0,1000,0,1774527643798213466, 1774527643798213466,1774527643798213466, 1774527643798213466,1774527643798213466, 1774527643798213466,REGULAR,REGULAR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,255,0,0,1,1,0,0,4294967295,4294967295,255,255,255,255,memfd:mozilla-ipc,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
16,SOCKET_CREATION,103,106,systemd-timesync,systemd-timesync,733,1,0,102963707873007,systemd-timesyn,/usr/lib/systemd/systemd-timesyncd,void,1774527647733049799,0,0000,0,0000,0, 0,103,103,106,106,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,void,void,0,255,0,0,255,0,0,255,0,0,0,0,0,0,1,0,255,0,0,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,0,255,0,255,void,255,0,255,255,255,255,void,void,void,void,255,1,2,0,65535,255.255.255.255,0000:0000:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,0,255,1,""
5,INODE_SETATTR,103,106,root,root,733,1,0,0,systemd-timesyn,/usr/lib/systemd/systemd-timesyncd,/var/lib/systemd/timesync/clock,1774527647733293905,33188,0644,0,0000,1, 255,103,0,106,0,1774527577732174654, 1774527647732215871,1774527577732174654, 1774527647732215871,1774527577732174654, 1774527647732215871,REGULAR,REGULAR,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,255,8,8,3,3,0,0,4294967295,4294967295,255,255,255,255,/var/lib/systemd/timesync/clock,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
12,INODE_RENAME,1000,1000,stefan,stefan,5782,3304,0,0,BgIOThr~ool #47,/snap/firefox/8030/usr/lib/firefox/firefox,recovery.jsonlz4,1774527658018891584,16877,0755,16877,0755,1, 255,1000,1000,1000,1000,1774527490709128778, 1774527490709128778,1774527490710128779, 1774527490710128779,1774527490709128778, 1774527490709128778,DIR,DIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,255,0,8,8,3,3,0,0,0,0,255,255,255,255,recovery.baklz4,0,0,255,255,255,255,,,,,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
12,INODE_RENAME,1000,1000,root,root,5782,3304,0,0,BgIOThr~ool #47,/snap/firefox/8030/usr/lib/firefox/firefox,recovery.jsonlz4.tmp,1774527658023011194,16877,0755,16877,0755,1, 255,1000,0,1000,0,1774527658021222213, 1774527658021222213,1774527658021222213, 1774527658021222213,1774527658021222213, 1774527658021222213,DIR,DIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,255,0,8,8,3,3,0,0,0,0,255,255,255,255,recovery.jsonlz4,0,0,255,255,255,255,,,,,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
3,EXECVE_ENTER,1000,1000,stefan,stefan,441019,11061,0,1205523,bash,void,/usr/bin/cat,1774527665353241667,4294967295,7777,4294967295,7777,1, 0,1000,1000,1000,1000,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,void,void,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,0,255,0,0,0,0,4294967295,4294967295,4294967295,4294967295,255,255,255,255,/usr/bin/cat,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,"cat /etc/shadow "
