event_type,event_type_str,uid,gid,username,groupname,pid,ppid,exit_code,durations_ns,comm,exe,filename,comm_timestamp,mode,mode_transformed,new_mode,new_mode_transformed,is_success,do_not_update_atime,old_uid,new_uid,old_gid,new_gid,old_mtime,new_mtime,old_ctime,new_ctime,old_atime,new_atime,file_type,file_type_new,is_sensitive_file,was_suid_changed,suid_set,suid_cleared,was_sgid_changed,sgid_set,sgid_cleared,was_sticky_changed,sticky_set,sticky_cleared,was_permission_changed,was_owner_changed,was_group_changed,was_creation_time_changed,was_access_time_changed,was_modified_time_changed,was_file_created,was_file_modified,is_target_dir_world_writable,dev_major,dev_major_new,dev_minor,dev_minor_new,rdev_major,rdev_minor,rdev_major_new,rdev_minor_new,is_linked_file_SGID_or_SUID,is_linked_to_sensitive_file,is_cross_user_link,is_symlink,new_filename,was_dir_removed,is_current_dir_world_writable,is_switching_user,is_switching_root,is_changing_password,is_root_command,name,rhost,rname,login_type,is_auth_success,protocol_family,socket_type,protocol,port,ipv4,ipv6,local_socket_port,local_ipv4_socket_addr,local_ipv6_socket_addr,path,peer_pid,peer_uid,peer_gid,backlog,ifindex,kernel_sock,is_important_port,is_sock_success,argv
3,EXECVE_ENTER,0,0,root,root,451152,23460,0,800388,bash,void,./cron_miner.sh,1772103263822856907,4294967295,7777,4294967295,7777,1, 0,0,0,0,0,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,void,void,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,0,255,0,0,0,0,4294967295,4294967295,4294967295,4294967295,255,255,255,255,./cron_miner.sh,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,"./cron_miner.sh "
16,SOCKET_CREATION,0,0,root,root,451152,23460,0,2762245,cron_miner.sh,void,void,1772103263825237588,0,0000,0,0000,0, 0,0,0,0,0,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,void,void,0,255,0,0,255,0,0,255,0,0,0,0,0,0,1,0,255,0,0,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,0,255,0,255,void,255,0,255,255,255,255,void,void,void,void,255,1,1,0,65535,255.255.255.255,0000:0000:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,0,255,1,""
18,SOCKET_CONNECT_OUTBOUND,0,0,root,root,451152,23460,0,2807318,cron_miner.sh,void,void,1772103263825282668,0,0000,0,0000,0, 0,0,0,0,0,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,void,void,0,255,0,0,255,0,0,255,0,0,0,0,0,0,0,0,255,0,0,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,0,255,0,255,void,255,0,255,255,255,255,void,void,void,void,255,1,1,0,0,0.0.0.0,0000:0000:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,/var/run/nscd/socket,-1,0,0,0,-1,0,255,1,""
16,SOCKET_CREATION,0,0,root,root,451152,23460,0,2868328,cron_miner.sh,void,void,1772103263825343688,0,0000,0,0000,0, 0,0,0,0,0,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,void,void,0,255,0,0,255,0,0,255,0,0,0,0,0,0,1,0,255,0,0,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,0,255,0,255,void,255,0,255,255,255,255,void,void,void,void,255,1,1,0,65535,255.255.255.255,0000:0000:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,0,255,1,""
18,SOCKET_CONNECT_OUTBOUND,0,0,root,root,451152,23460,0,2904321,cron_miner.sh,void,void,1772103263825379706,0,0000,0,0000,0, 0,0,0,0,0,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,void,void,0,255,0,0,255,0,0,255,0,0,0,0,0,0,0,0,255,0,0,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,0,255,0,255,void,255,0,255,255,255,255,void,void,void,void,255,1,1,0,0,0.0.0.0,0000:0000:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,/var/run/nscd/socket,-1,0,0,0,-1,0,255,1,""
5,INODE_SETATTR,0,0,root,root,451153,451152,0,0,cron_miner.sh,void,/var/lib/docker/rootfs/overlayfs/af2c4f0931715a3e3f6590ff471034fe431c04c3ef5b72cd3534309c0ec80fe1/tmp/.system_maintenance.sh,1772103263826806880,33261,0755,0,0000,1, 255,0,0,0,0,1772103220062454037, 1772103263826555222,1772103220065454044, 1772103263826555222,1772101479230433104, 1772103263826555222,REGULAR,REGULAR,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,255,0,0,75,75,0,0,4294967295,4294967295,255,255,255,255,/var/lib/docker/rootfs/overlayfs/af2c4f0931715a3e3f6590ff471034fe431c04c3ef5b72cd3534309c0ec80fe1/tmp/.system_maintenance.sh,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
5,INODE_SETATTR,0,0,root,root,451153,451152,0,0,cron_miner.sh,void,/var/lib/containerd/io.containerd.snapshotter.v1.overlayfs/snapshots/5/fs/tmp/.system_maintenance.sh,1772103263826849700,33261,0755,0,0000,1, 255,0,0,0,0,1772103220062454037, 1772103263826555222,1772103220065454044, 1772103263826555222,1772101479230433104, 1772103263826555222,REGULAR,REGULAR,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,255,8,8,3,3,0,0,4294967295,4294967295,255,255,255,255,/var/lib/containerd/io.containerd.snapshotter.v1.overlayfs/snapshots/5/fs/tmp/.system_maintenance.sh,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
3,EXECVE_ENTER,0,0,root,root,451153,451152,0,1094411,cron_miner.sh,void,/usr/bin/cat,1772103263826965338,4294967295,7777,4294967295,7777,1, 0,0,0,0,0,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,void,void,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,0,255,0,0,0,0,4294967295,4294967295,4294967295,4294967295,255,255,255,255,/usr/bin/cat,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,"cat "
3,EXECVE_ENTER,0,0,root,root,451154,451152,0,549493,cron_miner.sh,void,/usr/bin/chmod,1772103263829219588,4294967295,7777,4294967295,7777,1, 0,0,0,0,0,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,18446744073709551615, 18446744073709551615,void,void,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,0,255,0,0,0,0,4294967295,4294967295,4294967295,4294967295,255,255,255,255,/usr/bin/chmod,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,"chmod +x /tmp/.system_maintenance.sh "
5,INODE_SETATTR,0,0,root,root,451154,451152,0,0,chmod,void,/var/lib/docker/rootfs/overlayfs/af2c4f0931715a3e3f6590ff471034fe431c04c3ef5b72cd3534309c0ec80fe1/tmp/.system_maintenance.sh,1772103263830293112,33261,0755,33261,0755,1, 255,0,0,0,0,1772103263827555224, 1772103263829555229,1772103263827555224, 1772103263829555229,1772101479230433104, 1772103263829555229,REGULAR,REGULAR,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,255,0,0,75,75,0,0,4294967295,4294967295,255,255,255,255,/var/lib/docker/rootfs/overlayfs/af2c4f0931715a3e3f6590ff471034fe431c04c3ef5b72cd3534309c0ec80fe1/tmp/.system_maintenance.sh,255,255,255,255,255,255,void,void,void,void,255,-1,-1,-1,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,65535,255.255.255.255,766f:6964:0000:0000:0000:0000:0000:0000,void,-1,-1,-1,-1,-1,255,255,255,""
